id,N,D,C,E,I,K,F,P,S,V,APAAC3,APAAC4,APAAC5,APAAC6,APAAC10,APAAC19,_PolarizabilityC3,_SolventAccessibilityC2,_SolventAccessibilityC3,_SecondaryStrC2,_SecondaryStrC3,_ChargeC2,_ChargeC3,_PolarityC2,_PolarityC3,_NormalizedVDWVC1,_NormalizedVDWVC2,_NormalizedVDWVC3,_HydrophobicityC1,_HydrophobicityC2,_PolarizabilityT23,_SolventAccessibilityT12,_SolventAccessibilityT13,_SecondaryStrT12,_SecondaryStrT13,_ChargeT13,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,_PolarizabilityD1001,_PolarizabilityD2001,_SolventAccessibilityD1001,_SolventAccessibilityD2001,_SolventAccessibilityD2100,_SecondaryStrD2001,_SecondaryStrD3001,_ChargeD1001,_ChargeD1100,_ChargeD2001,_ChargeD3001,_ChargeD3075,_ChargeD3100,_PolarityD2001,_PolarityD3001,_NormalizedVDWVD1001,_NormalizedVDWVD2001,_HydrophobicityD1001,_HydrophobicityD1100,_HydrophobicityD2001,AP,RP,DI,DK,CL,CS,EI,IA,ID,IE,IK,LC,LP,KD,KE,KI,KF,FD,FE,PA,PR,PG,PP,PS,SC,SP,YI,VD,PAAC2,PAAC3,PAAC4,PAAC5,PAAC10,PAAC12,PAAC14,PAAC15,PAAC16,PAAC21,PAAC22,PAAC25,label
Negative_162,1.647,4.167,2.519,11.434,2.422,3.779,1.357,6.492,7.849,4.845,1.02,2.581,1.56,7.082,1.5,0.96,0.211,0.377,0.212,0.17,0.27,0.703,0.156,0.321,0.391,0.388,0.401,0.211,0.377,0.351,0.214,0.328,0.189,0.19,0.268,0.048,0.211,0.238,0.177,0.221,0.291,0.194,0.291,0.388,99.903,2.713,0.194,0.388,99.225,0.097,0.581,66.279,99.903,0.194,0.388,0.194,0.581,0.388,99.903,0.194,0.58,0.58,0.29,0.1,0.48,0.29,0.39,0.1,0.1,0.29,0.0,0.39,0.68,0.29,0.68,0.0,0.0,0.0,0.0,0.68,0.29,1.07,0.39,0.68,0.0,0.39,0.1,0.39,4.968,0.797,2.016,1.219,1.172,1.828,0.656,3.14,3.797,5.384,5.164,5.21,0
Negative_440,4.242,8.485,3.636,9.091,4.242,3.03,2.424,5.455,5.455,7.879,5.477,10.955,4.695,11.738,5.477,1.565,0.164,0.345,0.2,0.248,0.273,0.745,0.176,0.279,0.364,0.4,0.436,0.164,0.345,0.309,0.146,0.268,0.159,0.213,0.25,0.043,0.238,0.244,0.11,0.207,1.212,1.818,1.818,2.424,100.0,1.212,4.242,7.273,100.0,0.606,2.424,63.636,99.394,1.212,2.424,1.212,1.818,2.424,100.0,1.212,0.0,0.0,0.61,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.61,0.61,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.61,0.61,0.0,0.0,0.0,0.0,0.61,2.524,2.209,4.418,1.893,2.209,1.578,1.262,2.84,2.84,4.244,4.876,4.9,0
Positive_928,2.56,2.56,2.259,4.819,10.09,4.217,5.572,4.066,6.476,7.38,1.088,1.088,0.96,2.048,4.287,1.6,0.245,0.196,0.264,0.378,0.238,0.849,0.074,0.328,0.209,0.377,0.378,0.245,0.196,0.38,0.232,0.161,0.29,0.281,0.178,0.02,0.11,0.158,0.193,0.133,0.301,1.205,0.904,0.301,97.59,0.753,0.301,1.355,96.687,0.151,0.301,87.048,95.934,0.452,0.301,0.301,1.958,0.301,97.59,0.452,0.15,0.15,0.45,0.0,0.15,0.0,0.15,0.9,0.15,0.3,0.15,0.3,0.15,0.0,0.45,0.3,0.0,0.15,0.15,0.0,0.15,0.45,0.15,0.3,0.15,0.15,0.45,0.0,1.879,1.389,1.389,1.225,5.474,2.288,3.023,2.206,3.513,4.359,4.763,4.419,1
Positive_856,2.5,6.0,0.0,6.0,6.0,9.0,3.0,2.5,5.0,11.5,2.015,4.835,0.0,4.835,4.835,1.209,0.23,0.355,0.165,0.285,0.225,0.725,0.12,0.31,0.365,0.37,0.4,0.23,0.355,0.335,0.191,0.347,0.161,0.286,0.256,0.03,0.181,0.251,0.171,0.236,3.5,1.0,1.5,1.0,98.5,2.5,3.5,10.0,96.5,0.5,1.0,83.5,98.5,3.5,1.0,3.5,1.0,1.0,98.5,3.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1.01,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.01,3.136,1.206,2.895,0.0,2.895,4.343,1.448,1.206,2.413,5.245,5.404,4.806,1
Negative_883,3.824,4.589,2.294,3.824,4.78,4.78,4.207,6.31,7.648,6.692,4.143,4.972,2.485,4.143,5.179,3.729,0.245,0.26,0.294,0.306,0.296,0.834,0.084,0.344,0.289,0.413,0.342,0.245,0.26,0.407,0.205,0.213,0.289,0.264,0.234,0.025,0.132,0.218,0.159,0.172,0.574,0.382,0.382,3.633,100.0,0.382,0.765,3.824,100.0,0.191,3.633,70.746,97.897,0.574,3.633,0.574,0.382,3.633,100.0,0.574,0.38,0.0,0.0,0.19,0.0,0.38,0.19,0.38,0.19,0.57,0.0,0.57,0.77,0.19,0.19,0.57,0.0,0.0,0.57,0.77,0.19,0.77,0.19,0.38,0.38,0.38,0.19,0.19,1.803,2.003,2.404,1.202,2.504,2.504,2.204,3.305,4.006,4.701,4.68,4.843,0
Negative_130,3.08,1.437,2.053,4.312,11.088,3.696,5.544,5.544,7.187,8.214,1.249,0.583,0.833,1.749,4.496,1.998,0.216,0.179,0.263,0.392,0.244,0.877,0.057,0.341,0.185,0.376,0.409,0.216,0.179,0.396,0.22,0.144,0.317,0.255,0.173,0.014,0.078,0.138,0.183,0.109,0.411,1.232,0.411,0.616,100.0,0.821,0.411,1.437,95.893,0.205,0.616,82.546,100.0,0.411,0.616,0.411,1.232,0.616,100.0,0.411,0.62,0.21,0.21,0.0,0.62,0.0,0.0,0.21,0.0,0.0,0.41,0.21,0.21,0.0,0.41,0.21,0.21,0.21,0.21,0.82,0.0,0.21,0.41,0.0,0.0,0.21,0.82,0.0,1.613,1.728,0.806,1.152,6.223,2.074,3.111,3.111,4.033,4.217,4.523,4.391,0
Positive_334,4.38,5.109,2.19,7.664,5.839,6.204,1.825,4.745,10.219,6.934,4.611,5.378,2.305,8.067,6.146,1.537,0.201,0.339,0.245,0.245,0.277,0.766,0.128,0.296,0.365,0.369,0.431,0.201,0.339,0.336,0.179,0.322,0.176,0.223,0.198,0.022,0.198,0.278,0.158,0.256,0.73,4.015,0.73,1.46,99.27,1.095,0.73,2.19,99.27,0.365,1.46,63.139,87.956,0.73,1.46,0.73,4.015,1.46,99.27,0.73,0.0,0.0,0.73,0.37,0.0,0.37,0.0,0.37,0.0,0.37,0.37,0.0,0.0,0.0,0.37,0.73,0.0,0.37,0.0,0.0,0.0,0.0,0.73,0.37,0.37,0.37,0.37,0.37,2.297,2.297,2.68,1.149,3.063,3.254,0.957,2.489,5.36,4.967,4.81,4.849,1
Negative_83,2.073,3.886,3.109,5.959,6.995,2.85,8.29,5.181,6.995,5.699,0.932,1.747,1.398,2.679,3.145,1.398,0.295,0.223,0.264,0.324,0.267,0.826,0.098,0.293,0.275,0.363,0.342,0.295,0.223,0.376,0.242,0.192,0.247,0.239,0.234,0.01,0.151,0.19,0.205,0.145,1.295,0.518,2.332,0.518,99.482,1.295,0.518,2.073,96.632,0.259,0.777,46.632,99.482,1.036,0.518,1.036,0.518,0.518,99.482,1.036,0.52,0.52,0.52,0.0,0.52,0.52,0.0,0.52,0.0,0.0,0.0,0.52,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.26,0.0,0.26,0.26,0.0,2.446,1.088,2.039,1.631,3.67,1.495,4.349,2.718,3.67,4.793,4.829,4.916,0
Positive_36,5.83,3.587,3.139,5.531,2.84,3.438,5.232,7.324,10.164,5.232,5.25,3.23,2.827,4.981,2.557,4.173,0.262,0.286,0.323,0.281,0.336,0.816,0.091,0.341,0.308,0.408,0.33,0.262,0.286,0.41,0.204,0.219,0.251,0.213,0.256,0.021,0.132,0.225,0.153,0.18,0.448,0.299,0.448,0.299,97.16,2.541,0.448,0.747,97.16,0.149,0.299,58.296,90.284,0.448,0.299,0.448,0.299,0.299,97.16,0.448,0.45,0.45,0.0,0.3,0.0,0.3,0.15,0.0,0.0,0.15,0.3,0.3,0.45,0.15,0.6,0.15,0.0,0.3,0.15,0.9,0.3,0.9,0.75,1.05,0.3,0.9,0.3,0.45,3.045,3.045,1.874,1.64,1.483,1.796,2.733,3.826,5.309,4.67,4.73,5.064,1
Positive_172,4.792,6.07,2.875,7.348,8.626,7.348,4.473,6.07,3.195,4.792,5.862,7.425,3.517,8.988,10.552,5.08,0.272,0.323,0.259,0.313,0.259,0.754,0.134,0.265,0.367,0.355,0.374,0.272,0.323,0.351,0.263,0.285,0.208,0.288,0.231,0.019,0.218,0.292,0.202,0.224,0.639,1.278,1.278,2.556,98.722,0.639,0.958,4.153,98.722,0.319,2.556,73.482,93.61,0.639,1.597,0.639,1.917,2.556,98.722,0.639,0.32,0.0,0.64,0.0,0.32,0.0,0.96,0.96,0.32,1.28,0.64,0.0,0.64,0.32,0.64,0.32,0.0,0.64,0.0,0.0,0.64,0.32,0.32,0.32,0.32,0.0,0.64,0.32,1.955,2.443,3.095,1.466,4.398,3.747,2.281,3.095,1.629,4.903,5.214,5.221,1
Positive_619,5.172,6.897,1.567,5.486,3.762,5.486,3.448,3.605,6.583,5.956,4.257,5.677,1.29,4.515,3.096,2.838,0.257,0.315,0.255,0.265,0.318,0.768,0.124,0.343,0.345,0.428,0.315,0.257,0.315,0.408,0.184,0.272,0.234,0.187,0.248,0.028,0.179,0.22,0.151,0.176,0.47,0.784,0.47,0.313,100.0,0.784,0.47,0.313,99.843,0.157,4.075,78.056,98.433,0.47,0.313,0.47,0.94,0.313,100.0,0.47,0.47,0.31,0.63,0.31,0.0,0.16,0.16,0.0,0.63,0.16,0.0,0.0,0.16,0.16,0.47,0.16,0.0,0.31,0.0,0.0,0.63,0.16,0.0,0.16,0.16,0.16,0.16,0.16,2.677,2.598,3.465,0.787,1.89,2.756,1.732,1.811,3.307,4.81,4.989,5.042,1
Positive_1222,5.098,4.706,1.176,8.235,5.882,3.922,3.922,1.176,5.098,8.627,5.699,5.261,1.315,9.206,6.576,2.192,0.204,0.31,0.192,0.29,0.255,0.769,0.129,0.329,0.333,0.388,0.408,0.204,0.31,0.373,0.209,0.303,0.236,0.272,0.232,0.035,0.185,0.209,0.201,0.169,2.353,0.784,1.176,0.784,97.647,3.137,2.353,2.745,93.725,0.392,0.784,79.608,97.647,2.353,0.784,2.353,0.784,0.784,97.647,2.353,0.39,0.0,0.0,0.0,0.0,0.0,0.39,1.18,0.0,0.39,0.39,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,3.118,2.533,2.339,0.584,2.923,1.949,1.949,0.584,2.533,4.955,5.454,4.989,1
Negative_532,0.855,5.983,3.846,8.974,0.427,6.41,3.846,5.556,8.12,6.41,0.677,4.735,3.044,7.102,0.338,1.691,0.265,0.338,0.252,0.235,0.261,0.739,0.15,0.299,0.359,0.397,0.338,0.265,0.338,0.342,0.24,0.253,0.219,0.232,0.266,0.064,0.167,0.215,0.185,0.193,3.419,0.855,0.855,2.137,100.0,0.855,1.709,2.137,100.0,0.427,3.846,61.538,97.863,1.709,2.137,0.855,2.564,2.137,100.0,1.709,0.43,0.0,0.0,1.72,0.43,0.86,0.0,0.0,0.0,0.43,0.0,0.43,0.43,0.43,1.72,0.0,0.0,0.0,0.0,0.86,0.43,0.43,0.0,0.0,0.0,0.43,0.0,0.0,2.358,0.429,3.001,1.929,0.214,3.215,1.929,2.787,4.073,4.684,5.226,5.068,0
Negative_944,4.406,6.487,1.714,5.386,4.162,3.06,3.06,5.753,8.323,8.935,4.013,5.908,1.561,4.905,3.791,3.01,0.226,0.297,0.275,0.285,0.354,0.783,0.119,0.353,0.322,0.435,0.339,0.226,0.297,0.41,0.195,0.261,0.248,0.199,0.252,0.017,0.191,0.206,0.158,0.173,0.367,0.612,0.49,0.367,99.633,1.102,0.367,0.734,99.633,0.122,0.367,67.687,98.776,0.49,0.367,0.367,1.102,0.367,99.633,0.49,0.37,0.74,0.49,0.12,0.25,0.25,0.25,0.12,0.0,0.0,0.12,0.0,0.37,0.0,0.49,0.25,0.12,0.49,0.0,0.12,0.37,0.49,0.12,0.49,0.12,0.37,0.25,0.61,3.395,2.222,3.272,0.864,2.099,1.543,1.543,2.902,4.198,4.915,4.938,4.867,0
Negative_1007,6.495,3.498,2.355,5.282,3.569,5.282,2.641,6.138,9.993,5.139,6.321,3.404,2.292,5.141,3.473,2.848,0.213,0.3,0.305,0.244,0.324,0.826,0.088,0.362,0.337,0.42,0.367,0.213,0.3,0.428,0.194,0.242,0.245,0.218,0.256,0.017,0.137,0.219,0.157,0.172,0.214,0.286,0.286,0.143,99.143,0.286,0.214,0.143,98.43,0.071,1.428,77.73,99.072,0.214,0.143,0.214,0.428,0.143,99.143,0.214,0.07,0.36,0.0,0.43,0.14,0.43,0.21,0.29,0.14,0.07,0.43,0.07,0.71,0.14,0.43,0.07,0.07,0.07,0.07,0.5,0.07,0.5,0.5,1.14,0.21,0.64,0.14,0.21,1.842,3.566,1.92,1.293,1.959,2.9,1.45,3.37,5.486,4.491,4.521,4.664,0
Negative_820,2.559,3.412,2.985,2.985,3.412,4.051,4.904,5.757,8.529,7.676,1.664,2.219,1.941,1.941,2.219,1.941,0.237,0.203,0.264,0.294,0.273,0.846,0.064,0.373,0.22,0.437,0.326,0.237,0.203,0.42,0.186,0.212,0.259,0.241,0.261,0.013,0.107,0.154,0.145,0.141,0.853,0.426,0.853,0.426,98.294,1.706,1.066,2.985,97.868,0.213,1.066,63.113,98.294,0.853,0.426,0.853,0.426,0.426,98.294,0.853,0.64,0.43,0.0,0.43,0.85,0.0,0.0,0.64,0.0,0.0,0.21,1.07,1.5,0.0,0.0,0.21,0.21,0.0,0.0,0.21,0.0,0.64,0.85,0.64,0.43,0.21,0.0,0.0,2.587,1.35,1.8,1.574,1.8,2.137,2.587,3.036,4.499,4.56,4.581,4.826,0
Negative_469,2.723,2.723,3.218,3.96,5.693,2.228,3.96,5.941,8.416,5.198,1.72,1.72,2.033,2.502,3.596,1.72,0.215,0.193,0.282,0.29,0.28,0.864,0.067,0.384,0.215,0.443,0.342,0.215,0.193,0.433,0.206,0.189,0.285,0.256,0.27,0.01,0.119,0.151,0.159,0.139,0.495,0.99,0.495,1.238,99.752,1.98,0.743,1.238,96.782,0.248,3.713,90.594,99.752,0.495,1.238,0.495,1.485,1.238,99.752,0.495,0.0,0.25,0.25,0.0,0.5,0.25,0.74,0.0,0.0,0.25,0.25,0.5,0.74,0.0,0.25,0.5,0.0,0.0,0.0,1.74,0.74,0.5,0.25,0.5,0.25,1.24,0.0,0.5,2.529,1.464,1.464,1.73,3.061,1.198,2.129,3.194,4.525,4.352,4.624,4.686,0
Negative_1082,4.444,3.333,7.778,8.889,6.667,5.556,5.556,2.222,4.444,3.333,7.749,5.812,13.562,15.5,11.625,1.937,0.256,0.3,0.178,0.311,0.2,0.789,0.122,0.233,0.333,0.344,0.4,0.256,0.3,0.278,0.303,0.292,0.101,0.281,0.213,0.034,0.213,0.225,0.236,0.202,2.222,3.333,8.889,2.222,93.333,12.222,2.222,7.778,92.222,1.111,2.222,65.556,93.333,5.556,2.222,2.222,3.333,2.222,93.333,5.556,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.12,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,1.12,1.12,1.12,1.676,2.235,1.676,3.911,3.352,2.794,2.794,1.117,2.235,4.777,5.051,4.563,0
Positive_849,2.308,5.192,0.962,4.615,2.115,3.462,5.385,7.115,5.385,5.0,1.893,4.257,0.789,3.784,1.734,2.681,0.29,0.3,0.229,0.238,0.29,0.771,0.098,0.35,0.327,0.412,0.298,0.29,0.3,0.41,0.191,0.297,0.218,0.22,0.264,0.021,0.16,0.204,0.133,0.177,0.577,0.385,0.385,0.769,98.846,0.385,1.154,0.769,96.154,0.192,4.038,70.0,96.923,0.577,0.769,0.577,0.385,0.769,98.846,0.577,0.77,0.77,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.19,0.0,0.19,1.73,0.0,0.19,0.0,0.0,0.58,0.19,0.96,1.35,0.39,0.39,0.0,0.0,0.39,0.19,0.19,4.457,1.07,2.407,0.446,0.98,1.605,2.496,3.298,2.496,5.375,5.64,5.825,1
Negative_145,0.472,4.245,2.358,5.189,2.358,2.83,4.245,4.245,6.132,11.792,0.484,4.356,2.42,5.325,2.42,1.452,0.245,0.245,0.193,0.278,0.212,0.783,0.094,0.34,0.269,0.406,0.349,0.245,0.245,0.377,0.218,0.256,0.227,0.246,0.209,0.028,0.152,0.204,0.209,0.166,3.302,0.943,1.415,0.943,100.0,1.415,3.302,2.358,100.0,0.472,0.943,64.151,99.528,3.302,0.943,3.302,0.943,0.943,100.0,3.302,0.95,0.47,0.0,0.47,0.47,0.47,0.47,0.0,0.0,0.0,0.0,0.47,0.47,0.0,0.47,0.0,0.0,0.47,0.0,0.47,0.0,0.95,0.0,0.47,0.0,0.47,0.0,0.95,4.481,0.224,2.016,1.12,1.12,1.344,2.016,2.016,2.912,5.144,6.041,5.322,0
